Share pledge ratio of controlling shareholders,Pledge ratio of unlimited shares,audit opinion ,Downgrade or negative,Ratio of other receivables to total assets,ROA,Asset liability ratio,Pledge ratio of limited sale shares,ROE,Enterprise age,IsDefault
0.068358673,0.0,0.0,0.0,0.009841049,0.106993,0.395023336,0.0,0.143136,14.18611111,0
0.089798919,0.0,0.0,0.0,0.001245305,0.101459,0.377424216,0.0,0.121846,7.980555556,0
0.0,0.026493207,0.0,0.0,0.024169154,0.132751,0.386406143,0.0,0.188912,5.45,0
0.193906998,0.003026,0.0,0.0,0.00197768,0.149742,0.528170926,0.07144162,0.309618,2.711111111,0
0.654045756,0.263952295,0.0,0.0,0.011516744,0.043523,0.248739808,0.0,0.030983,9.344444444,0
0.062423077,0.016119097,0.0,0.0,0.008318727,0.172605,0.36224214,0.031749206,0.213151,1.736111111,0
0.630186032,0.114300946,0.0,0.0,0.010446721,0.079571,0.19130958,0.0,0.094936,6.630555556,0
0.569616915,0.0,0.0,0.0,0.02699514,0.07213,0.480089502,0.0,0.100982,5.813888889,0
0.243975168,0.26406057,0.0,0.0,0.044224424,0.055699,0.452574945,0.0,0.085939,8.311111111,0
0.188829894,0.056730633,0.0,0.0,0.001700145,0.193644,0.282215458,0.041439469,0.226867,2.141666667,0
0.711538136,0.0,0.0,0.0,0.012796679,0.092013,0.32539144,0.0,0.101806,15.09444444,0
0.258219617,0.0,0.0,0.0,0.027525089,0.097511,0.306454221,0.0,0.11894,4.525,0
0.457416462,0.195070889,0.0,0.0,0.006229274,-0.076738,0.048832507,0.0,-0.080043,11.41111111,0
0.294595997,0.0,0.0,0.0,0.004487486,0.080917,0.419612204,0.0,0.116059,1.058333333,0
0.0,0.0,0.0,0.0,0.036827126,0.050571,0.428292543,0.0,0.064572,7.166666667,0
0.78591387,0.0,0.0,0.0,0.005058426,0.086654,0.202434825,0.0,0.093537,5.733333333,0
0.513441656,0.382097987,0.0,0.0,0.022613949,0.051929,0.785560976,0.0,0.069256,19.125,0
0.649765288,0.240775244,0.0,0.0,0.013049486,0.09593,0.607602894,0.031119063,0.198692,8.525,0
0.531746032,0.0,0.0,0.0,0.00631894,0.119884,0.474067299,0.0,0.200759,12.33333333,0
0.481393511,0.278223374,0.0,0.0,0.002489256,0.062429,0.66210307,0.0,0.092674,14.10555556,0
0.264446798,0.095408374,0.0,0.0,0.006391083,0.062684,0.551301631,0.0,0.074792,8.411111111,0
0.73863675,0.0,0.0,0.0,0.061856816,0.152633,0.281553071,0.0,0.219554,0.944444444,0
0.421919456,0.0,0.0,0.0,0.00252469,0.173363,0.474492907,0.0,0.2633,9.091666667,0
0.704373697,0.187492893,0.0,0.0,0.020253661,0.055584,0.753409035,0.0,0.09502,18.11388889,0
0.72004053,0.143538725,0.0,0.0,0.008411385,0.095166,0.490915871,0.0,0.160886,23.45833333,0
0.424905454,0.256735121,0.0,0.0,0.011091117,0.109716,0.488821159,0.0,0.165607,4.927777778,0
0.445197466,0.267119723,0.0,0.0,0.021616853,0.132621,0.482447396,0.0,0.178427,3.216666667,0
0.224522847,0.07750843,0.0,0.0,0.003422801,0.095143,0.417248285,0.0,0.143216,4.030555556,0
0.588438141,2.18088e-06,0.0,0.0,0.012317265,0.241762,0.21360266,0.30035145,0.301951,0.961111111,0
0.999907178,0.0,0.0,0.0,0.032692279,0.044901,0.537127448,0.0,0.0,116.0027778,0
0.460336011,0.161364604,0.0,0.0,0.000569129,0.138946,0.362597664,0.0,0.188596,3.347222222,0
0.290219963,0.0,0.0,0.0,0.001416482,0.09886,0.548116043,0.0,0.18446,11.29444444,0
0.637895603,0.0,0.0,0.0,0.005341165,0.049461,0.631036592,0.0,0.080686,5.411111111,0
0.008534427,0.0,0.0,0.0,0.006337621,0.125603,0.519347444,0.0,0.213153,5.294444444,0
0.920807351,0.0,0.0,0.0,0.170829426,-0.085259,0.486040128,0.0,-0.244959,21.64444444,0
0.068345852,0.0,0.0,0.0,0.011830081,0.080149,0.496511038,0.0,0.094675,13.77222222,0
0.0,1.32353e-05,0.0,0.0,0.012559219,0.117271,0.262584169,0.070588235,0.134789,0.897222222,0
0.526724399,0.098369052,0.0,0.0,0.006011811,0.109889,0.483392277,0.0,0.178349,13.50555556,0
0.169371798,0.0,0.0,0.0,0.009427622,0.271821,0.165954495,0.0,0.280691,7.308333333,0
0.201294534,0.033783585,0.0,0.0,0.00232169,0.001003,0.682332741,0.064822525,-0.024087,25.375,0
0.985163611,0.0,0.0,0.0,0.022198371,0.056672,0.479688369,0.0,0.071851,9.975,0
0.833894231,0.391359034,0.0,0.0,0.005296101,0.110314,0.12988057,0.021614867,0.107403,7.108333333,0
0.18400211,0.03838779,0.0,0.0,0.004623621,0.114475,0.248106863,0.040948385,0.139414,11.30833333,0
0.790686158,0.070367851,0.0,0.0,0.002712138,0.053917,0.172280456,0.0,0.071097,14.28333333,0
0.316884752,0.063467492,0.0,0.0,0.001823594,0.053592,0.308176064,0.0,0.062062,24.08888889,0
0.112833333,0.0,0.0,0.0,0.009967971,0.108369,0.239967791,0.0,0.116029,1.941666667,0
0.521824336,0.256412836,0.0,0.0,0.004232306,0.057092,0.730638857,0.0,0.10138,3.95,0
0.133237208,0.0,0.0,0.0,0.145895689,0.064262,0.469957329,0.0,0.129763,8.588888889,0
0.0,0.0,0.0,0.0,0.106676168,0.072515,0.553792245,0.0,0.042111,15.275,0
0.380423369,0.216146381,0.0,0.0,0.005603636,0.031108,0.505576844,0.0,0.027568,6.027777778,0
0.296560792,0.06581889,0.0,0.0,0.009807317,0.09104,0.344136031,0.0,0.117024,12.01666667,0
0.0,0.100620362,0.0,0.0,0.003650468,0.081467,0.565825747,0.0,0.166902,10.55833333,0
0.76535942,0.174981069,0.0,0.0,0.051534693,-0.020909,0.495943865,0.0,-0.063731,12.75833333,0
0.660870883,0.0,0.0,0.0,0.000476303,0.026966,0.572491471,0.0,0.021546,3.941666667,0
0.084280784,0.066105522,0.0,0.0,0.00290727,0.067421,0.224024938,0.0,0.079926,23.02222222,0
0.99725986,0.148924695,0.0,0.0,0.027068907,0.039225,0.606788134,0.165705098,0.079548,17.57222222,0
0.658778679,0.166139383,0.0,0.0,0.046479803,0.105114,0.676328649,0.0,0.15081,11.37222222,0
0.286262969,0.080518225,0.0,0.0,0.000898657,0.061893,0.483139193,0.0,0.068412,3.452777778,0
0.497480513,0.094752072,0.0,0.0,0.009558984,0.105266,0.297903833,0.0,0.14184,4.416666667,0
0.827202521,0.0,0.0,0.0,0.011592867,0.022136,0.376375405,0.0,0.017117,4.680555556,0
0.0,0.0019763,0.0,0.0,0.007164681,0.08313,0.86583324,0.0,0.226872,3.119444444,0
0.558937025,0.186803441,0.0,0.0,0.002607881,0.099662,0.612217554,0.0,0.161939,5.811111111,0
0.453514309,0.137128594,0.0,0.0,0.003231869,0.030736,0.532016512,0.0,0.045427,5.036111111,0
0.0,0.0,0.0,0.0,0.010605573,0.092993,0.159810891,0.0,0.128004,4.916666667,0
0.558585449,0.0,0.0,0.0,0.012092033,0.025286,0.267454402,0.0,0.055516,11.40277778,0
0.0,0.0,0.0,0.0,0.064212914,0.031077,0.80270822,0.0,-0.006944,6.119444444,0
0.0,0.022149362,0.0,0.0,0.000804143,0.142845,0.104174263,0.0,0.143769,1.913888889,0
0.0,0.030641839,0.0,0.0,0.00090649,0.053546,0.188360889,0.0,0.048548,4.261111111,0
0.278444444,0.0,0.0,0.0,0.00666697,0.097418,0.148394513,0.0,0.107767,1.555555556,0
0.0,0.0,0.0,0.0,0.0050108,0.063439,0.220502633,0.0,0.070309,1.780555556,0
0.257878053,0.0,0.0,0.0,0.00901778,0.126525,0.177507375,0.0,0.141695,0.880555556,0
0.249111159,0.0,0.0,0.0,0.001427994,0.029586,0.725810683,0.0,0.061091,6.975,0
0.384820712,0.156555773,0.0,0.0,0.002060991,0.102276,0.446134134,0.0,0.142625,11.86944444,0
0.138074253,0.0,0.0,0.0,0.016715902,0.065103,0.245452829,0.0,0.068461,5.288888889,0
0.662296177,0.290446327,0.0,0.0,0.004157451,0.025028,0.822839345,0.0,0.028352,6.830555556,0
0.094191989,0.064394677,0.0,0.0,0.015235136,0.040661,0.583021503,0.0,0.07799,10.46111111,0
0.499993263,0.22492576,0.0,0.0,0.010585523,0.056131,0.606369431,0.0,0.071358,19.86111111,0
0.522977078,0.172363145,0.0,0.0,0.007452545,0.076181,0.501204024,0.0,0.115421,12.57777778,0
0.065138212,0.022605931,0.0,0.0,0.000966462,0.197589,0.169018427,0.0,0.195733,7.5,0
0.106288583,0.0,0.0,0.0,0.054531365,0.043222,0.64502125,0.0,0.067015,19.575,0
0.386094946,0.0,0.0,0.0,0.011048123,0.116429,0.322306091,0.0,0.118653,6.45,0
0.513253066,0.0,0.0,0.0,0.004018549,0.074368,0.485039186,0.0,0.104604,6.066666667,0
0.412303546,0.099226557,0.0,0.0,0.001115148,0.069548,0.384443367,0.0,0.092912,5.6,0
0.737100677,0.216977938,0.0,0.0,0.003993592,-0.025756,0.738752102,0.0,-0.14991,21.03611111,0
0.36992509,1.09487e-05,0.0,0.0,0.012296733,0.075573,0.081116382,0.238334893,0.088679,2.75,0
0.09417813,0.0,0.0,0.0,0.003889294,0.014182,0.577779902,0.0,0.025835,1.591666667,0
0.381499391,0.189676134,0.0,0.0,0.026659803,-0.11639,0.392250845,0.0,-0.240923,9.180555556,0
0.425990745,0.086576019,0.0,0.0,0.002501257,0.026548,0.60352829,0.0,0.041359,15.375,0
0.568730338,0.425321767,0.0,0.0,0.004309352,0.04163,0.243800605,0.0,0.042607,18.98055556,0
0.579006738,0.137072514,0.0,0.0,0.111622593,-0.218979,0.390793788,0.148939189,-0.349463,7.430555556,0
0.66810842,0.0,0.0,0.0,0.006149422,0.017941,0.399538378,0.0,0.021975,6.277777778,0
0.118458349,3.92095e-05,0.0,0.0,0.040409089,0.118592,0.390025743,0.074988237,0.143397,1.469444444,0
0.046639038,0.012092023,0.0,0.0,0.004048247,0.108765,0.260821346,0.0,0.136526,3.475,0
0.671733765,0.250749376,0.0,0.0,0.020093843,0.054611,0.560977764,0.003550208,0.084274,8.791666667,0
0.426326105,0.124055224,0.0,0.0,0.014341065,0.266913,0.213775402,0.0,0.302212,12.86944444,0
0.853113834,0.0,0.0,0.0,0.01819205,0.104747,0.436923311,0.0,0.144551,12.83055556,0
0.116860833,0.07061947,0.0,0.0,0.01344593,0.067605,0.712264497,0.0,0.094446,17.41666667,0
0.22790168,0.0,0.0,0.0,0.011726231,0.083536,0.231012848,0.0,0.109028,1.688888889,0
0.120455735,0.0,0.0,0.0,0.025738223,0.07655,0.372930031,0.0,0.102664,8.930555556,0
0.231191767,0.0,0.0,0.0,0.004476308,0.153437,0.082854044,0.0,0.149598,8.683333333,0
0.495550859,0.0,0.0,0.0,0.014476479,0.183332,0.293805433,0.0,0.237469,19.03611111,0
0.251905582,0.114655783,0.0,0.0,0.041197564,0.071478,0.639744327,0.0,0.124039,12.81944444,0
0.215829418,0.07982234,0.0,0.0,0.016962375,0.06943,0.492205187,0.0,0.109103,10.33055556,0
0.129364254,0.0,0.0,0.0,0.01369941,0.050766,0.127140763,0.0,0.043027,6.166666667,0
0.287816299,0.015003495,0.0,0.0,0.011198191,0.050834,0.44543124,0.193272425,0.06965,25.23333333,0
0.690984484,0.248644601,0.0,0.0,0.049696892,0.018109,0.491469999,0.165590041,0.03465,4.180555556,0
0.037542291,0.015443506,0.0,0.0,0.000765089,0.103159,0.136640235,0.0,0.112351,8.755555556,0
0.801311919,0.0,0.0,0.0,0.010550427,0.039833,0.434210595,0.0,0.048468,8.841666667,0
0.0,0.0,0.0,0.0,0.009086777,0.033248,0.673376126,0.0,0.058803,16.53611111,0
0.488419777,0.0,0.0,0.0,0.022571146,0.059234,0.651802709,0.0,0.084742,7.941666667,0
0.059931534,0.0,0.0,0.0,0.013585671,0.141845,0.239396237,0.011543168,0.158145,2.952777778,0
0.216459333,0.070108728,0.0,0.0,0.010227283,0.051808,0.304561024,0.0,0.070944,10.37777778,0
0.0,0.0,0.0,0.0,0.006737165,0.1118,0.490079976,0.0,0.150957,0.688888889,0
0.0,0.0,0.0,0.0,0.004641032,0.076016,0.347605019,0.0,0.107669,3.088888889,0
0.644184909,0.0,0.0,0.0,0.007663324,0.055992,0.257416922,0.0,0.063869,5.425,0
0.865970859,0.0,0.0,0.0,0.010430387,0.030387,0.217032198,0.0,0.042369,3.416666667,0
0.389546477,0.0,0.0,0.0,0.000998484,0.123124,0.505202483,0.0,0.151776,6.055555556,0
0.736260514,0.0,0.0,0.0,0.021851611,0.095668,0.637501642,0.0,0.14899,10.58333333,0
0.17359464,0.00989517,0.0,0.0,0.007077412,0.110419,0.43576324,0.085333595,0.148836,2.527777778,0
0.981789359,0.416956187,0.0,0.0,0.006223836,0.04863,0.873240386,0.0,0.170793,25.64444444,0
0.0,0.0,0.0,0.0,0.026366329,0.124397,0.170133464,0.0,0.160933,1.875,0
0.0,2.6367e-06,0.0,0.0,0.04134161,0.073326,0.423738373,0.0,0.101662,14.56944444,0
0.177442116,0.072476811,0.0,0.0,0.004330522,0.107314,0.563831152,0.0,0.178602,4.95,0
0.280044538,0.083054951,0.0,0.0,0.051416194,0.064702,0.494826338,0.0,0.125552,19.4,0
0.330861949,0.144950459,0.0,0.0,0.012116779,0.036235,0.509091749,0.0,0.06543,27.73055556,0
0.150907431,0.072615199,0.0,0.0,0.007530296,0.164147,0.54905058,0.0,0.254523,10.40555556,0
